Date,Item,Total Price
10/18/21,boutique Item,$10.00 
10/18/21,boutique Item,$7.00 
10/27/21,water bottle,$1.00 
10/27/21,sweaters/cardigans,$5.00 
10/27/21,windbreakers,$5.00 
10/27/21,tank-top,$3.00 
10/27/21,handbags,$5.00 
10/27/21,water bottle,$1.00 
10/27/21,tank-top,$3.00 
10/27/21, costume,$15.00 
10/27/21,notebook,$1.00 
10/27/21,costume,$7.00 
10/27/21,t-shirt,$3.00 
10/27/21,sweaters/cardigans,$5.00 
10/27/21,long sleeve shirt,$3.00 
10/27/21,jeans,$5.00 
10/27/21,sweaters/cardigans,$5.00 
10/27/21,sunglasses,$5.00 
10/27/21,dresses (all),$5.00 
10/27/21,costume ,$5.00 
